L1,L2,Score,cluster_number
pb5,p21,0.333478172099867,4
p21,pb5,0.333478172099867,4
p17,p10,0.333505899021825,4
p10,p17,0.333505899021825,4
pt2,p11,0.334075550434432,4
p11,pt2,0.334075550434432,4
pt5,p18,0.33558569127055,4
p18,pt5,0.33558569127055,4
pb9,p23,0.335985229574023,4
p23,pb9,0.335985229574023,4
pb6,p19,0.336596495416982,4
p19,pb6,0.336596495416982,4
pt1,p20,0.336722721939774,4
p20,pt1,0.336722721939774,4
pt4,p21,0.336887989005571,4
p21,pt4,0.336887989005571,4
p24,p19,0.337197236831289,4
p19,p24,0.337197236831289,4
p23,p18,0.337983795814727,4
p18,p23,0.337983795814727,4
ps2,p16,0.33895475037569,4
p16,ps2,0.33895475037569,4
ps3,p11,0.339138764997803,4
p11,ps3,0.339138764997803,4
ps2,p11,0.339653887554858,4
p11,ps2,0.339653887554858,4
pb1,p23,0.33968128599312,4
p23,pb1,0.33968128599312,4
ps3,p16,0.339692101740296,4
p16,ps3,0.339692101740296,4
ps4,pt2,0.340649611876027,4
p22,p19,0.340653719167036,4
p19,p22,0.340653719167036,4
p22,p12,0.340663907046622,4
p12,p22,0.340663907046622,4
p19,p18,0.340775440378499,4
p18,p19,0.340775440378499,4
pb8,p17,0.340886600098573,4
p17,pb8,0.340886600098573,4
pb7,p23,0.341431106983651,4
p23,pb7,0.341431106983651,4
ps2,p13,0.341881756924556,4
p13,ps2,0.341881756924556,4
pt1,pb6,0.342033713974988,4
pb6,pt1,0.342033713974988,4
pt1,p16,0.342471115007673,4
p16,pt1,0.342471115007673,4
pb1,p21,0.342584357834163,4
p21,pb1,0.342584357834163,4
pb4,p19,0.342747536800743,4
p19,pb4,0.342747536800743,4
pt2,pb9,0.343153861044631,4
pb9,pt2,0.343153861044631,4
ps3,p18,0.344176751415567,4
p18,ps3,0.344176751415567,4
pb8,pb2,0.344518980133984,4
pb2,pb8,0.344518980133984,4
p13,p12,0.344657804037421,4
p12,p13,0.344657804037421,4
pt5,p14,0.344715798573591,4
p14,pt5,0.344715798573591,4
pt5,ps4,0.344719485960146,4
ps4,pt5,0.344719485960146,4
pt2,ps4,0.345053942254025,4
pb2,p16,0.345648306947359,4
p16,pb2,0.345648306947359,4
pb8,pb1,0.345847190102657,4
pb1,pb8,0.345847190102657,4
pt1,pb2,0.345930834305785,4
pb2,pt1,0.345930834305785,4
pt2,p10,0.346322722283206,4
p10,pt2,0.346322722283206,4
pb3,p16,0.346367760377828,4
p16,pb3,0.346367760377828,4
pt5,p16,0.346648696933132,4
p16,pt5,0.346648696933132,4
p14,p10,0.347480228775804,4
p10,p14,0.347480228775804,4
p14,p12,0.347586817635525,4
p12,p14,0.347586817635525,4
p21,p18,0.347841364408736,4
p18,p21,0.347841364408736,4
p24,p12,0.348070185055757,4
p12,p24,0.348070185055757,4
p24,p20,0.348278693590684,4
p20,p24,0.348278693590684,4
p23,p15,0.348743693068302,4
p15,p23,0.348743693068302,4
ps1,pb9,0.348814729881074,4
pb9,ps1,0.348814729881074,4
p18,p12,0.348915231491837,4
p12,p18,0.348915231491837,4
p23,p12,0.349187184434612,4
p12,p23,0.349187184434612,4
p25,p19,0.349234115083197,4
p19,p25,0.349234115083197,4
ps3,ps1,0.349308999331542,4
ps1,ps3,0.349308999331542,4
sqo,lsa,0.349638667974,4
lsa,sqo,0.349638667974,4
ps2,pb9,0.349937788837542,4
pb9,ps2,0.349937788837542,4
av2,av1,0.350221048498994,4
av1,av2,0.350221048498994,4
pt3,pb7,0.350262614894018,4
pb7,pt3,0.350262614894018,4
ps5,ps1,0.350512014442232,4
ps1,ps5,0.350512014442232,4
pb6,p12,0.350674588636328,4
p12,pb6,0.350674588636328,4
p19,p10,0.350760967671658,4
p10,p19,0.350760967671658,4
pb4,p12,0.350825471698114,4
p12,pb4,0.350825471698114,4
pt5,p21,0.351261599251764,4
p21,pt5,0.351261599251764,4
pt4,ps4,0.351385683738066,4
ps4,pt4,0.351385683738066,4
pb5,p19,0.351936623630587,4
p19,pb5,0.351936623630587,4
pb2,p19,0.3522850274021,4
p19,pb2,0.3522850274021,4
ps1,p24,0.352748263588007,4
p24,ps1,0.352748263588007,4
pb5,p23,0.353006224087033,4
p23,pb5,0.353006224087033,4
pt1,p13,0.353090903447099,4
p13,pt1,0.353090903447099,4
pt1,p14,0.353355528838745,4
p14,pt1,0.353355528838745,4
pt4,p19,0.353409573533696,4
p19,pt4,0.353409573533696,4
p19,p13,0.353516588264697,4
p13,p19,0.353516588264697,4
p23,p14,0.353545265176473,4
p14,p23,0.353545265176473,4
pt4,pb9,0.353893832949882,4
pb9,pt4,0.353893832949882,4
p16,p15,0.354354587869363,4
p15,p16,0.354354587869363,4
p19,p11,0.354607340959155,4
p11,p19,0.354607340959155,4
pt4,p16,0.355471745356099,4
p16,pt4,0.355471745356099,4
ps4,p19,0.355691488093579,4
p19,ps4,0.355691488093579,4
pt1,p21,0.356464127844102,4
p21,pt1,0.356464127844102,4
pt2,p21,0.357429062496706,4
p21,pt2,0.357429062496706,4
pt4,p17,0.357978570548873,4
p17,pt4,0.357978570548873,4
ps4,p10,0.358180657035532,4
p10,ps4,0.358180657035532,4
pb1,p19,0.358422461969195,4
p19,pb1,0.358422461969195,4
pt2,p14,0.358877495952511,4
p14,pt2,0.358877495952511,4
pb8,p10,0.359614631889834,4
p10,pb8,0.359614631889834,4
pt2,p16,0.359662492340085,4
p16,pt2,0.359662492340085,4
pt5,p19,0.360810309310425,4
p19,pt5,0.360810309310425,4
p20,p19,0.360998102644065,4
p19,p20,0.360998102644065,4
pt1,p18,0.361259246516429,4
p18,pt1,0.361259246516429,4
pt3,ps2,0.361532349410833,4
ps2,pt3,0.361532349410833,4
wne,pt2,0.361849330112016,4
pt2,wne,0.361849330112016,4
p19,p16,0.361876371373479,4
p16,p19,0.361876371373479,4
pb8,p11,0.362482044370357,4
p11,pb8,0.362482044370357,4
pt4,pb8,0.362712972164774,4
pb8,pt4,0.362712972164774,4
p24,p22,0.362734835424326,4
p22,p24,0.362734835424326,4
pb5,p24,0.362930958469272,4
p24,pb5,0.362930958469272,4
ps3,p14,0.362984731162735,4
p14,ps3,0.362984731162735,4
tgk,prs,0.363109608884597,4
prs,tgk,0.363109608884597,4
pt2,p18,0.363652034915612,4
p18,pt2,0.363652034915612,4
p23,p21,0.364053310542428,4
p21,p23,0.364053310542428,4
pt1,ps4,0.365237111409824,4
ps4,pt1,0.365237111409824,4
pb8,p18,0.365371611100731,4
p18,pb8,0.365371611100731,4
pt1,pb5,0.365865091642057,4
pb5,pt1,0.365865091642057,4
p19,p12,0.366031578660317,4
p12,p19,0.366031578660317,4
pb8,p25,0.366905963623606,4
p25,pb8,0.366905963623606,4
pb3,p19,0.366909434591651,4
p19,pb3,0.366909434591651,4
pt1,p19,0.368169963317751,4
p19,pt1,0.368169963317751,4
ps3,p12,0.368409083525553,4
p12,ps3,0.368409083525553,4
pt2,pb3,0.368575783972127,4
pb3,pt2,0.368575783972127,4
ps5,p24,0.369174499547725,4
p24,ps5,0.369174499547725,4
pt5,p15,0.369473422752112,4
p15,pt5,0.369473422752112,4
pt5,p10,0.369475462137563,4
p10,pt5,0.369475462137563,4
pb7,p12,0.370450068670198,4
p12,pb7,0.370450068670198,4
pb2,p24,0.370673455092794,4
p24,pb2,0.370673455092794,4
pb1,p12,0.370759173545833,4
p12,pb1,0.370759173545833,4
pb8,p14,0.370859909321448,4
p14,pb8,0.370859909321448,4
pt2,p17,0.372253669768781,4
