L1,L2,Score,Cluster_number
ll2,pm2,0.535024221479657,2
fur,ll1,0.536100498929083,2
ll1,fur,0.536100498929087,2
ve2,ca6,0.538146578046458,2
ca6,ve2,0.53814657804646,2
lm2,eg1,0.538373594163067,2
eg1,lm2,0.538373594163073,2
glg,itg,0.539030801231741,2
itg,glg,0.539030801231745,2
ast,ita,0.539050515265931,2
ita,ast,0.539050515265937,2
ve3,li3,0.539432406427767,2
li3,ve3,0.539432406427768,2
ve2,sc3,0.539834193366576,2
sc3,ve2,0.539834193366585,2
ll2,ita,0.540742953906543,2
ita,ll2,0.540742953906544,2
sro,sc2,0.541734678028117,2
sc2,sro,0.541734678028121,2
sro,sc3,0.541845563842775,2
sc3,sro,0.541845563842777,2
eg4,ito,0.542003411299057,2
ito,eg4,0.54200341129906,2
ca4,glg,0.5420660453038,2
glg,ca4,0.542066045303803,2
eg1,itg,0.54220911404059,2
itg,eg1,0.542209114040594,2
itg,li1,0.54227349665766,2
li1,itg,0.542273496657663,2
spa,ca5,0.543103578041029,2
ca5,spa,0.543103578041031,2
ita,sc4,0.544292050719196,2
sc4,ita,0.544292050719197,2
ast,ca4,0.544366020169749,2
ca4,ast,0.544366020169752,2
eg1,ita,0.546733738205796,2
ita,eg1,0.546733738205803,2
src,sc3,0.547554446527671,2
sc3,src,0.547554446527672,2
fro,ro1,0.548738217190369,2
ro1,fro,0.548738217190376,2
li1,sc3,0.549332892414417,2
sc3,li1,0.549332892414418,2
li2,ita,0.550763503996047,2
ita,li2,0.55076350399605,2
pm3,ll2,0.550857489900546,2
ll2,pm3,0.550857489900551,2
li2,eg3,0.55110809080826,2
eg3,li2,0.55110809080826,2
pm1,ll2,0.551114579075988,2
ll2,pm1,0.551114579075994,2
ve3,sc2,0.551151485993404,2
sc2,ve3,0.551151485993414,2
itg,sc4,0.552226833018199,2
sc4,itg,0.552226833018202,2
spa,ita,0.552377903525449,2
ita,spa,0.552377903525457,2
src,ito,0.552711830537664,2
ito,src,0.552711830537667,2
eg2,ca4,0.553110407434465,2
ca4,eg2,0.553110407434465,2
ast,ito,0.553230352898443,2
ito,ast,0.553230352898452,2
eg4,sc3,0.553434016409317,2
sc3,eg4,0.553434016409318,2
eg1,lm1,0.553520330820686,2
lm1,eg1,0.553520330820689,2
spa,ito,0.554783628712715,2
ito,spa,0.554783628712725,2
fro,ro4,0.555244998074512,2
ro4,fro,0.555244998074518,2
eg3,sc3,0.555396213778879,2
sc3,eg3,0.555396213778884,2
lm1,li1,0.555918764864833,2
li1,lm1,0.555918764864836,2
src,itf,0.556693515083532,2
itf,src,0.556693515083533,2
eg2,li1,0.556944161834635,2
li1,eg2,0.556944161834642,2
ve1,ca5,0.557945908435759,2
ca5,ve1,0.557945908435764,2
eg2,fur,0.558140198791457,2
fur,eg2,0.558140198791467,2
spa,ca4,0.558222744936131,2
