L1,L2,Score_distance
sro,rup,0.828012270394468
rup,sro,0.828012270394464
pm2,win,0.82792423009257
win,pm2,0.827924230092568
fra,eg3,0.827888407134253
eg3,fra,0.827888407134253
ro4,pr2,0.827859425709257
pr2,ro4,0.827859425709255
fro,qbb,0.827839862373591
qbb,fro,0.827839862373585
pcd,pm1,0.82769756249671
pm1,pcd,0.827697562496707
fra,ca3,0.827686177630678
ca3,fra,0.827686177630675
pr2,pm4,0.82766174547948
nea,pcd,0.827526679377994
pcd,nea,0.827526679377984
pcd,pm4,0.827344284401295
ruq,sro,0.82726817503464
sro,ruq,0.827268175034638
ll2,ron,0.827096368576428
ron,ll2,0.827096368576427
ll1,pr2,0.826924806548132
pr2,ll1,0.826924806548131
fra,glg,0.826895675495623
glg,fra,0.826895675495623
itg,fra,0.82594264376253
fra,itg,0.825942643762525
lm2,sro,0.825510784540403
sro,lm2,0.825510784540401
pcd,pm3,0.825102829599838
pm3,pcd,0.825102829599836
sro,lm1,0.824667287277394
lm1,sro,0.824667287277391
lm2,fra,0.824574341998357
fra,lm2,0.824574341998356
pm1,sro,0.824301072613989
sro,pm1,0.824301072613988
lat,rup,0.824269145351667
rup,lat,0.824269145351662
fra,ro2,0.823945279960518
ro2,fra,0.823945279960514
ruq,ca2,0.823837469881807
ca2,ruq,0.823837469881801
pcd,pr2,0.823307102992701
pr2,pcd,0.8233071029927
qbb,ro2,0.823070001559518
ro2,qbb,0.823070001559516
li1,ruq,0.822598175937396
ruq,li1,0.822598175937393
sc2,pr2,0.822585505498177
pr2,sc2,0.822585505498175
lat,ro3,0.82227278652716
ro3,lat,0.822272786527155
ruq,ca6,0.822262971860907
ca6,ruq,0.822262971860905
eg1,ruq,0.822255347659716
ruq,eg1,0.822255347659707
ron,ast,0.82197298681212
ast,ron,0.821972986812119
ruq,sc3,0.821819937699912
sc3,ruq,0.82181993769991
ron,sc4,0.82179256677614
sc4,ron,0.821792566776139
ruo,nea,0.821725988437592
nea,ruo,0.821725988437586
ron,pm3,0.821483114386845
pm3,ron,0.821483114386844
ron,pr1,0.821291115944637
pr1,ron,0.821291115944634
ita,win,0.821123546813243
win,ita,0.821123546813237
ve2,rup,0.820645128693626
rup,ve2,0.820645128693619
pm4,src,0.820213088850469
ron,ca5,0.820189216544344
ca5,ron,0.820189216544342
ita,pcd,0.819860032528642
pcd,ita,0.819860032528642
lat,pm4,0.819782930390375
qbb,ca1,0.819581571831259
ca1,qbb,0.819581571831251
ruq,ca4,0.819566996229751
ca4,ruq,0.819566996229747
pcd,pm2,0.819119636889332
pm2,pcd,0.819119636889329
fra,ro3,0.81904160414443
ro3,fra,0.819041604144425
ve3,pr2,0.818926075655347
pr2,ve3,0.818926075655344
nea,pr2,0.818519859260262
pr2,nea,0.818519859260251
rup,itf,0.818063852482125
itf,rup,0.818063852482123
lat,fur,0.817915531721908
fur,lat,0.817915531721906
pm3,pr2,0.817784357175615
pr2,pm3,0.817784357175614
spa,ro3,0.817694582632916
ro3,spa,0.817694582632913
ast,lm1,0.817422996741505
lm1,ast,0.817422996741502
ron,pm2,0.817327605845369
pm2,ron,0.817327605845367
pm2,pr2,0.816687314218821
pr2,pm2,0.81668731421882
li3,sro,0.816515000272969
sro,li3,0.816515000272966
eg4,ron,0.814853094213406
ron,eg4,0.814853094213405
pr2,win,0.814766294134685
win,pr2,0.814766294134685
ron,pm4,0.814582723574658
lm1,ro3,0.81402029099612
ro3,lm1,0.81402029099612
ca3,ll1,0.813881933576175
ll1,ca3,0.813881933576175
ruq,ca5,0.813730204470741
ca5,ruq,0.813730204470738
fra,ll2,0.813519982059695
ll2,fra,0.813519982059695
pm4,glg,0.813409859159573
lm1,spa,0.813240874150033
spa,lm1,0.813240874150033
fra,ve2,0.813222072037756
ve2,fra,0.813222072037754
fro,lat,0.81301954388845
lat,fro,0.813019543888448
dlm,lm1,0.812936749342981
lm1,dlm,0.812936749342977
lat,pr1,0.811805984653724
pr1,lat,0.811805984653723
qbb,eg4,0.811748494861337
eg4,qbb,0.811748494861334
pm5,pr2,0.811491435696818
pr2,pm5,0.811491435696817
li2,ron,0.811440714987635
ron,li2,0.811440714987635
ve1,fra,0.811402170198787
fra,ve1,0.811402170198784
pcd,fro,0.811372491410605
fro,pcd,0.811372491410604
pm4,ron,0.81123592960921
sro,fur,0.81110900777864
fur,sro,0.811109007778637
pm1,spa,0.81025011695684
spa,pm1,0.810250116956838
pm4,qbb,0.810122241882213
fra,pm1,0.809853447396205
pm1,fra,0.809853447396204
fra,ro4,0.809398092647858
ro4,fra,0.809398092647854
glg,lm1,0.809386109991439
lm1,glg,0.809386109991438
sc3,pr2,0.809272358730142
pr2,sc3,0.809272358730139
qbb,ro1,0.809066606395434
ro1,qbb,0.809066606395425
glg,rup,0.808961492882301
rup,glg,0.808961492882301
ruq,sc1,0.808912274149196
sc1,ruq,0.808912274149194
fur,ron,0.808898317960347
ron,fur,0.808898317960346
ron,ca2,0.808814670126628
ca2,ron,0.808814670126624
ruq,src,0.808799252370597
src,ruq,0.808799252370597
pm4,pr2,0.80868645162731
pr1,lm1,0.808428771532013
lm1,pr1,0.80842877153201
qbb,li1,0.808202051594355
li1,qbb,0.808202051594354
ron,spa,0.80811576120252
spa,ron,0.808115761202519
eg1,rup,0.80777309329827
rup,eg1,0.807773093298259
pm4,lat,0.807565187437154
qbb,ro4,0.807468683639297
ro4,qbb,0.80746868363929
fra,ve3,0.807283670488159
ve3,fra,0.807283670488156
li1,fra,0.806963598476277
fra,li1,0.806963598476273
ron,ro4,0.80669904595855
ro4,ron,0.806699045958545
ron,ca4,0.806539386817493
ca4,ron,0.806539386817488
lm2,src,0.806089157322372
src,lm2,0.806089157322372
ve3,rup,0.806087320816008
rup,ve3,0.806087320816
qbb,li2,0.80569273400679
li2,qbb,0.805692734006787
ruo,ita,0.805608032033798
ita,ruo,0.805608032033797
pm4,spa,0.805255769153257
win,ca1,0.804498636213338
ca1,win,0.804498636213332
dlm,ca3,0.804409605754127
ca3,dlm,0.804409605754123
ron,ca6,0.804400738112362
ca6,ron,0.804400738112357
eg3,ruq,0.804022841309065
ruq,eg3,0.804022841309061
fro,sro,0.8039180153683
sro,fro,0.803918015368294
li3,fra,0.80383506844588
fra,li3,0.803835068445879
li1,sro,0.8037061038001
sro,li1,0.8037061038001
ito,fra,0.803684435593143
fra,ito,0.803684435593139
ron,ro1,0.803301477405398
ro1,ron,0.803301477405393
lm1,ro2,0.803293077429178
ro2,lm1,0.803293077429178
pm3,sro,0.803285154465025
sro,pm3,0.803285154465025
rup,nea,0.802939363889008
nea,rup,0.802939363889003
pcd,pr1,0.802694661712822
pr1,pcd,0.802694661712819
pm2,sro,0.802113836998676
sro,pm2,0.802113836998674
sro,ro1,0.802006253616257
ro1,sro,0.80200625361625
lat,ro2,0.80191274177048
ro2,lat,0.801912741770477
eg1,qbb,0.801840050881655
qbb,eg1,0.801840050881655
lat,eg4,0.801464862815136
eg4,lat,0.801464862815132
fro,itf,0.801355106975748
itf,fro,0.801355106975744
eg1,ro3,0.80067929272877
ro3,eg1,0.800679292728766
sro,pr1,0.800437276467488
pr1,sro,0.800437276467487
pm4,ca2,0.799890893331349
ruq,fur,0.799766098698799
fur,ruq,0.799766098698798
ve3,ruq,0.799521829438798
ruq,ve3,0.799521829438792
ro4,lm1,0.799330462753908
lm1,ro4,0.799330462753908
lm2,spa,0.799299161280525
spa,lm2,0.799299161280523
ron,ca3,0.799169351172204
ca3,ron,0.799169351172199
ruq,ro4,0.798981800375575
ro4,ruq,0.798981800375572
qbb,ron,0.798499863743639
ron,qbb,0.798499863743637
lat,li1,0.798116997541232
li1,lat,0.798116997541232
ve2,ruq,0.798094117560234
ruq,ve2,0.798094117560229
sro,ca3,0.797853730753363
ca3,sro,0.79785373075336
sro,pm4,0.797440844569585
src,lm1,0.797308581302815
lm1,src,0.797308581302813
lat,li2,0.797096886262732
li2,lat,0.79709688626273
ruq,ca1,0.797051622597293
ca1,ruq,0.797051622597289
pm4,pcd,0.796845670733759
qbb,eg2,0.796533990990012
eg2,qbb,0.79653399099001
pm4,dlm,0.796436348454899
dlm,li3,0.796258768005876
li3,dlm,0.796258768005874
ca1,fra,0.79605966549853
fra,ca1,0.79605966549853
fro,pr2,0.795701242633258
pr2,fro,0.795701242633255
qbb,ca5,0.795582886836528
ca5,qbb,0.795582886836524
ron,glg,0.7953459680952
glg,ron,0.795345968095196
lat,eg1,0.794528808405998
eg1,lat,0.794528808405995
qbb,ca6,0.793776151235451
ca6,qbb,0.793776151235444
ita,pr2,0.79325845165441
pr2,ita,0.793258451654407
pm3,spa,0.793252239427169
spa,pm3,0.793252239427167
lm2,ca3,0.793249463587463
ca3,lm2,0.793249463587456
eg1,fro,0.79261951126654
fro,eg1,0.79261951126654
eg3,ron,0.791617324026509
ron,eg3,0.791617324026509
eg1,pr1,0.791574735162124
pr1,eg1,0.791574735162122
pm4,ro2,0.791474614545551
eg2,ron,0.791404254017347
