L1,L2,Score
ron,eg4,2.53030624407951
eg4,ron,2.53030624407951
ruq,ito,2.53409751057058
ito,ruq,2.53409751057058
sro,ll2,2.53656263093032
ll2,sro,2.53656263093032
ruq,fur,2.53839527782424
fur,ruq,2.53839527782424
ve2,pcd,2.54167199799848
pcd,ve2,2.54167199799848
sc2,fro,2.54215479054031
fro,sc2,2.54215479054031
spa,ro2,2.54341584943934
ro2,spa,2.54341584943934
ll1,ca3,2.5477809276231
ca3,ll1,2.5477809276231
ro1,por,2.54863335186922
por,ro1,2.54863335186922
win,pm5,2.5497000411724
pm5,win,2.5497000411724
ron,pm2,2.55222103845132
pm2,ron,2.55222103845132
qbb,ca6,2.55296583021025
ca6,qbb,2.55296583021025
fur,fra,2.55300803056165
fra,fur,2.55300803056165
por,li3,2.55386807775946
li3,por,2.55386807775946
lat,ca6,2.55446117860393
ca6,lat,2.55446117860393
li3,dlm,2.55460211537197
dlm,li3,2.55460211537197
pr2,ca2,2.55748588484089
ca2,pr2,2.55748588484089
spa,ro4,2.55882904063161
ro4,spa,2.55882904063161
ito,fra,2.56422031397235
fra,ito,2.56422031397235
lat,ca2,2.56449867065315
ca2,lat,2.56449867065315
ro3,fra,2.56712777817703
fra,ro3,2.56712777817703
sro,pm1,2.56765788747406
pm1,sro,2.56765788747406
pm2,lat,2.56990916208694
lat,pm2,2.56990916208694
sro,ca1,2.57063063301785
ca1,sro,2.57063063301785
lat,eg1,2.57123378349623
eg1,lat,2.57123378349623
pr2,ca6,2.57301158182453
ca6,pr2,2.57301158182453
li1,fra,2.57354669400089
fra,li1,2.57354669400089
spa,pm1,2.57810302575314
pm1,spa,2.57810302575314
lm1,fro,2.5823563100806
fro,lm1,2.5823563100806
pr2,itg,2.58279731410761
itg,pr2,2.58279731410761
pm5,pcd,2.58432216334377
pcd,pm5,2.58432216334377
sro,fur,2.58669969611185
fur,sro,2.58669969611185
li2,fro,2.58683049998934
fro,li2,2.58683049998934
qbb,ca2,2.58891261872824
ca2,qbb,2.58891261872824
ruo,ito,2.59566385145459
ito,ruo,2.59566385145459
ve1,ron,2.59587494861658
ron,ve1,2.59587494861658
src,ro1,2.59795606833716
ro1,src,2.59795606833716
ll2,fra,2.60274688446944
fra,ll2,2.60274688446944
sc1,ro2,2.60451302051906
ro2,sc1,2.60451302051906
src,ll1,2.60724598391003
ll1,src,2.60724598391003
pcd,ita,2.61097004716204
ita,pcd,2.61097004716204
lm2,ca3,2.61175814775122
ca3,lm2,2.61175814775122
pr1,lat,2.61329863918775
lat,pr1,2.61329863918775
pr2,ca5,2.62703175997642
ca5,pr2,2.62703175997642
ro4,por,2.62817185117983
por,ro4,2.62817185117983
por,fro,2.6301404671542
fro,por,2.6301404671542
sro,rup,2.63400666260662
rup,sro,2.63400666260662
li3,ca3,2.63568681055562
ca3,li3,2.63568681055562
sro,pr1,2.63654658802352
pr1,sro,2.63654658802352
ron,pm4,2.63930894463592
pm4,ron,2.63930894463592
src,ro4,2.63935470722177
ro4,src,2.63935470722177
sc4,ro3,2.64038081957314
ro3,sc4,2.64038081957314
pr2,ca4,2.6462678945374
ca4,pr2,2.6462678945374
lat,fur,2.64647860729703
fur,lat,2.64647860729703
sc1,ca1,2.64847905118014
ca1,sc1,2.64847905118014
ron,li2,2.65043954408925
li2,ron,2.65043954408925
pr2,lm1,2.65259121193119
lm1,pr2,2.65259121193119
fra,ca1,2.65672550560972
ca1,fra,2.65672550560972
ro2,itf,2.66083237213367
itf,ro2,2.66083237213367
sc1,ro4,2.66105916038687
ro4,sc1,2.66105916038687
qbb,ll2,2.66302800307229
ll2,qbb,2.66302800307229
sc2,ron,2.66550864094235
ron,sc2,2.66550864094235
